#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,Notional(Base),NettingSet,CounterParty
FS_1.CP_2.CP_1.TL_0.TRADE_147.COPY_0,FxForward,2016-07-14,0.437158,16681268.275379,USD,14731717.037754,EUR,54949216.15,48527263.66,FS_1.CP_2.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_2.TL_0.TRADE_237.COPY_0,FxForward,2021-01-18,4.950947,-866261.655911,EUR,-866261.655911,EUR,4847043.64,4847043.64,FS_1.CP_1.CP_2.TL_0,FS_1.CP_2
FS_1.CP_2.CP_1.TL_0.TRADE_237.COPY_0,FxForward,2021-01-18,4.950947,980900.124670,USD,866261.655911,EUR,5549627.08,4901038.37,FS_1.CP_2.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_2.TL_0.TRADE_837.COPY_0,FxForward,2019-05-09,3.255057,5916624.017039,USD,5225144.119674,EUR,46114297.32,40724887.84,FS_1.CP_1.CP_2.TL_0,FS_1.CP_2
FS_1.CP_2.CP_1.TL_0.TRADE_837.COPY_0,FxForward,2019-05-09,3.255057,-5225144.119674,EUR,-5225144.119674,EUR,39054669.56,39054669.56,FS_1.CP_2.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_2.TL_0.TRADE_1329.COPY_0,FxForward,2017-09-19,1.619440,-21497438.536834,EUR,-21497438.536834,EUR,63753381.01,63753381.01,FS_1.CP_1.CP_2.TL_0,FS_1.CP_2
FS_1.CP_2.CP_1.TL_0.TRADE_1329.COPY_0,FxForward,2017-09-19,1.619440,24342345.060483,USD,21497438.536834,EUR,72588946.98,64105427.08,FS_1.CP_2.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_2.TL_0.TRADE_3138.COPY_0,FxForward,2020-01-24,3.967213,-4172861.252345,EUR,-4172861.252345,EUR,29293475.02,29293475.02,FS_1.CP_1.CP_2.TL_0,FS_1.CP_2
FS_1.CP_2.CP_1.TL_0.TRADE_3138.COPY_0,FxForward,2020-01-24,3.967213,4725085.191897,USD,4172861.252345,EUR,34647475.32,30598201.17,FS_1.CP_2.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_2.TL_0.TRADE_3612.COPY_0,FxForward,2016-10-07,0.669399,11015338.005388,USD,9727967.915371,EUR,25656005.40,22657570.49,FS_1.CP_1.CP_2.TL_0,FS_1.CP_2
